texto,categoria
Contrato de prestação de serviços celebrado entre as partes abaixo...,contrato
Contrato de prestação de serviços celebrado entre as partes abaixo...,contrato
"Pelo presente instrumento particular de contrato, as partes acordam...",contrato
Contrato de prestação de serviços celebrado entre as partes abaixo...,contrato
"Pelo presente instrumento particular de contrato, as partes acordam...",contrato
Cláusula primeira: O objeto deste contrato é a prestação de serviços...,contrato
"Pelo presente instrumento particular de contrato, as partes acordam...",contrato
Contrato de prestação de serviços celebrado entre as partes abaixo...,contrato
Contrato de prestação de serviços celebrado entre as partes abaixo...,contrato
Cláusula primeira: O objeto deste contrato é a prestação de serviços...,contrato
"Pelo presente instrumento particular de contrato, as partes acordam...",contrato
Cláusula primeira: O objeto deste contrato é a prestação de serviços...,contrato
"Pelo presente instrumento particular de contrato, as partes acordam...",contrato
Cláusula primeira: O objeto deste contrato é a prestação de serviços...,contrato
Cláusula primeira: O objeto deste contrato é a prestação de serviços...,contrato
"Pelo presente instrumento particular de contrato, as partes acordam...",contrato
Cláusula primeira: O objeto deste contrato é a prestação de serviços...,contrato
Contrato de prestação de serviços celebrado entre as partes abaixo...,contrato
"Acórdão: A Turma, por unanimidade, deu provimento ao recurso...",jurisprudencia
EMENTA: AÇÃO DE INDENIZAÇÃO. DANO MORAL. NEGATIVAÇÃO INDEVIDA...,jurisprudencia
RECURSO ESPECIAL. CIVIL. RESPONSABILIDADE CIVIL...,jurisprudencia
"Acórdão: A Turma, por unanimidade, deu provimento ao recurso...",jurisprudencia
RECURSO ESPECIAL. CIVIL. RESPONSABILIDADE CIVIL...,jurisprudencia
"Acórdão: A Turma, por unanimidade, deu provimento ao recurso...",jurisprudencia
EMENTA: AÇÃO DE INDENIZAÇÃO. DANO MORAL. NEGATIVAÇÃO INDEVIDA...,jurisprudencia
RECURSO ESPECIAL. CIVIL. RESPONSABILIDADE CIVIL...,jurisprudencia
RECURSO ESPECIAL. CIVIL. RESPONSABILIDADE CIVIL...,jurisprudencia
RECURSO ESPECIAL. CIVIL. RESPONSABILIDADE CIVIL...,jurisprudencia
"Acórdão: A Turma, por unanimidade, deu provimento ao recurso...",jurisprudencia
"Acórdão: A Turma, por unanimidade, deu provimento ao recurso...",jurisprudencia
RECURSO ESPECIAL. CIVIL. RESPONSABILIDADE CIVIL...,jurisprudencia
EMENTA: AÇÃO DE INDENIZAÇÃO. DANO MORAL. NEGATIVAÇÃO INDEVIDA...,jurisprudencia
EMENTA: AÇÃO DE INDENIZAÇÃO. DANO MORAL. NEGATIVAÇÃO INDEVIDA...,jurisprudencia
"Acórdão: A Turma, por unanimidade, deu provimento ao recurso...",jurisprudencia
RECURSO ESPECIAL. CIVIL. RESPONSABILIDADE CIVIL...,jurisprudencia
RECURSO ESPECIAL. CIVIL. RESPONSABILIDADE CIVIL...,jurisprudencia
RECURSO ESPECIAL. CIVIL. RESPONSABILIDADE CIVIL...,jurisprudencia
"Acórdão: A Turma, por unanimidade, deu provimento ao recurso...",jurisprudencia
A presente petição inicial tem por objeto requerer tutela antecipada...,petição
Excelentíssimo Senhor Doutor Juiz de Direito da ___ Vara Cível...,petição
A presente petição inicial tem por objeto requerer tutela antecipada...,petição
Excelentíssimo Senhor Doutor Juiz de Direito da ___ Vara Cível...,petição
Excelentíssimo Senhor Doutor Juiz de Direito da ___ Vara Cível...,petição
"Vem a parte autora, por seu advogado, propor a presente ação...",petição
"Vem a parte autora, por seu advogado, propor a presente ação...",petição
"Vem a parte autora, por seu advogado, propor a presente ação...",petição
Excelentíssimo Senhor Doutor Juiz de Direito da ___ Vara Cível...,petição
Excelentíssimo Senhor Doutor Juiz de Direito da ___ Vara Cível...,petição
A presente petição inicial tem por objeto requerer tutela antecipada...,petição
A presente petição inicial tem por objeto requerer tutela antecipada...,petição
A presente petição inicial tem por objeto requerer tutela antecipada...,petição
Excelentíssimo Senhor Doutor Juiz de Direito da ___ Vara Cível...,petição
Excelentíssimo Senhor Doutor Juiz de Direito da ___ Vara Cível...,petição
A presente petição inicial tem por objeto requerer tutela antecipada...,petição
Excelentíssimo Senhor Doutor Juiz de Direito da ___ Vara Cível...,petição
A presente petição inicial tem por objeto requerer tutela antecipada...,petição
"Vem a parte autora, por seu advogado, propor a presente ação...",petição
A presente petição inicial tem por objeto requerer tutela antecipada...,petição
Excelentíssimo Senhor Doutor Juiz de Direito da ___ Vara Cível...,petição
"Vem a parte autora, por seu advogado, propor a presente ação...",petição
A presente petição inicial tem por objeto requerer tutela antecipada...,petição
"Vem a parte autora, por seu advogado, propor a presente ação...",petição
Excelentíssimo Senhor Doutor Juiz de Direito da ___ Vara Cível...,petição
A presente petição inicial tem por objeto requerer tutela antecipada...,petição
A presente petição inicial tem por objeto requerer tutela antecipada...,petição
"Vem a parte autora, por seu advogado, propor a presente ação...",petição
"Vem a parte autora, por seu advogado, propor a presente ação...",petição
A presente petição inicial tem por objeto requerer tutela antecipada...,petição
"Vem a parte autora, por seu advogado, propor a presente ação...",petição
Excelentíssimo Senhor Doutor Juiz de Direito da ___ Vara Cível...,petição
"Vem a parte autora, por seu advogado, propor a presente ação...",petição
A presente petição inicial tem por objeto requerer tutela antecipada...,petição
A presente petição inicial tem por objeto requerer tutela antecipada...,petição
Excelentíssimo Senhor Doutor Juiz de Direito da ___ Vara Cível...,petição
A presente petição inicial tem por objeto requerer tutela antecipada...,petição
"Vem a parte autora, por seu advogado, propor a presente ação...",petição
Excelentíssimo Senhor Doutor Juiz de Direito da ___ Vara Cível...,petição
"Vem a parte autora, por seu advogado, propor a presente ação...",petição
"Vem a parte autora, por seu advogado, propor a presente ação...",petição
Excelentíssimo Senhor Doutor Juiz de Direito da ___ Vara Cível...,petição
"Vem a parte autora, por seu advogado, propor a presente ação...",petição
A presente petição inicial tem por objeto requerer tutela antecipada...,petição
Excelentíssimo Senhor Doutor Juiz de Direito da ___ Vara Cível...,petição
"Vem a parte autora, por seu advogado, propor a presente ação...",petição
A presente petição inicial tem por objeto requerer tutela antecipada...,petição
Excelentíssimo Senhor Doutor Juiz de Direito da ___ Vara Cível...,petição
"Vem a parte autora, por seu advogado, propor a presente ação...",petição
Excelentíssimo Senhor Doutor Juiz de Direito da ___ Vara Cível...,petição
Julgo procedente o pedido formulado na inicial...,sentenca
Vistos. Trata-se de ação movida por...,sentenca
"Com fundamento no art. 487, inciso I, do CPC, julgo o pedido procedente...",sentenca
Vistos. Trata-se de ação movida por...,sentenca
Vistos. Trata-se de ação movida por...,sentenca
Vistos. Trata-se de ação movida por...,sentenca
Julgo procedente o pedido formulado na inicial...,sentenca
"Com fundamento no art. 487, inciso I, do CPC, julgo o pedido procedente...",sentenca
Julgo procedente o pedido formulado na inicial...,sentenca
"Com fundamento no art. 487, inciso I, do CPC, julgo o pedido procedente...",sentenca
Vistos. Trata-se de ação movida por...,sentenca
Julgo procedente o pedido formulado na inicial...,sentenca
Vistos. Trata-se de ação movida por...,sentenca
Vistos. Trata-se de ação movida por...,sentenca
Julgo procedente o pedido formulado na inicial...,sentenca
"Com fundamento no art. 487, inciso I, do CPC, julgo o pedido procedente...",sentenca
Julgo procedente o pedido formulado na inicial...,sentenca
Vistos. Trata-se de ação movida por...,sentenca
Vistos. Trata-se de ação movida por...,sentenca
"Com fundamento no art. 487, inciso I, do CPC, julgo o pedido procedente...",sentenca
"Com fundamento no art. 487, inciso I, do CPC, julgo o pedido procedente...",sentenca
"Com fundamento no art. 487, inciso I, do CPC, julgo o pedido procedente...",sentenca
Vistos. Trata-se de ação movida por...,sentenca
Julgo procedente o pedido formulado na inicial...,sentenca
Julgo procedente o pedido formulado na inicial...,sentenca
Vistos. Trata-se de ação movida por...,sentenca
"Com fundamento no art. 487, inciso I, do CPC, julgo o pedido procedente...",sentenca
Vistos. Trata-se de ação movida por...,sentenca
Julgo procedente o pedido formulado na inicial...,sentenca
"Com fundamento no art. 487, inciso I, do CPC, julgo o pedido procedente...",sentenca
